id;requirement_id;standard;edition;clause;chapter;priority;lens;topic;process_tags;question_en;question_cs;question_de
9001-4-1-internal-1;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;internal;context;leadership | project_change;Which context issues have materially changed the system in the last twelve months?;Které okolnosti kontextu v posledních dvanácti měsících významně změnily systém?;Welche Kontextthemen haben das System in den letzten zwölf Monaten wesentlich verändert?
9001-4-1-internal-2;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;internal;context;leadership | project_change;How is understanding the organization and its context implemented in the selected process, and who owns the control?;Jak je v hodnoceném procesu zavedeno téma „Porozumění organizaci a jejímu kontextu“ a kdo vlastní příslušné řízení?;Wie ist „Verstehen der Organisation und ihres Kontextes“ im ausgewählten Prozess umgesetzt und wer verantwortet die Steuerung?
9001-4-1-internal-3;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;internal;context;leadership | project_change;Show a recent sample and explain how effectiveness, deviations and follow-up are evaluated.;Ukažte aktuální vzorek a vysvětlete, jak se hodnotí účinnost, odchylky a následná opatření.;Eine aktuelle Stichprobe zeigen und erläutern, wie Wirksamkeit, Abweichungen und Folgemaßnahmen bewertet werden.
9001-4-1-customer-1;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;customer;context;leadership | project_change;How does clause 4.1 protect customer, contractual or stakeholder expectations in this process?;Jak článek 4.1 chrání očekávání zákazníka, smluvní nebo jiné relevantní požadavky v tomto procesu?;Wie schützt Abschnitt 4.1 Kunden-, Vertrags- oder relevante Stakeholderanforderungen in diesem Prozess?
9001-4-1-customer-2;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;customer;context;leadership | project_change;Which context issues have materially changed the system in the last twelve months?;Které okolnosti kontextu v posledních dvanácti měsících významně změnily systém?;Welche Kontextthemen haben das System in den letzten zwölf Monaten wesentlich verändert?
9001-4-1-customer-3;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;customer;context;leadership | project_change;Show one recent customer/project example and trace the requirement to objective evidence and escalation.;Ukažte jeden aktuální zákaznický/projektový příklad a sledujte požadavek k objektivnímu důkazu a eskalaci.;Ein aktuelles Kunden-/Projektbeispiel zeigen und die Anforderung bis zu objektivem Nachweis und Eskalation verfolgen.
9001-4-1-certification-1;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;certification;context;leadership | project_change;Which objective evidence demonstrates conformity and effective implementation of clause 4.1?;Který objektivní důkaz prokazuje shodu a účinné zavedení článku 4.1?;Welche objektiven Nachweise belegen Konformität und wirksame Umsetzung von Abschnitt 4.1?
9001-4-1-certification-2;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;certification;context;leadership | project_change;Which context issues have materially changed the system in the last twelve months?;Které okolnosti kontextu v posledních dvanácti měsících významně změnily systém?;Welche Kontextthemen haben das System in den letzten zwölf Monaten wesentlich verändert?
9001-4-1-certification-3;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;certification;context;leadership | project_change;How does this control interact with related clauses, and how are gaps classified and corrected?;Jak toto řízení souvisí s navazujícími články a jak se klasifikují a řeší mezery?;Wie wirkt diese Steuerung mit verwandten Abschnitten zusammen und wie werden Lücken klassifiziert und behoben?
9001-4-1-supplier-1;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;supplier;context;leadership | project_change;How does the supplier implement understanding the organization and its context for the supplied product, process or service?;Jak dodavatel zavádí téma „Porozumění organizaci a jejímu kontextu“ pro dodávaný produkt, proces nebo službu?;Wie setzt der Lieferant „Verstehen der Organisation und ihres Kontextes“ für das gelieferte Produkt, den Prozess oder die Dienstleistung um?
9001-4-1-supplier-2;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;supplier;context;leadership | project_change;Show a recent supplied-part or service sample, including controls, records and deviation handling.;Ukažte aktuální vzorek dodávaného dílu nebo služby včetně řízení, záznamů a řešení odchylek.;Eine aktuelle Stichprobe eines gelieferten Teils oder einer Dienstleistung einschließlich Kontrollen, Aufzeichnungen und Abweichungsbehandlung zeigen.
9001-4-1-supplier-3;9001-4-1;ISO 9001;ISO 9001:2015 + Amd 1:2024;4.1;4;high;supplier;context;leadership | project_change;How are changes, risks and nonconformities communicated to the customer before impact?;Jak jsou změny, rizika a neshody komunikovány zákazníkovi před vznikem dopadu?;Wie werden Änderungen, Risiken und Nichtkonformitäten vor einer Auswirkung an den Kunden kommuniziert?
